행정구역,정류장이름,경도,위도
신사우동, 국군병원사거리,127.727807,37.936743
신사우동, 국군병원사거리,127.727736,37.936896
신사우동,신동,127.72165,37.92701
신사우동,신동교,127.72087,37.93467
신사우동,신동배터,127.7157,37.93733
신사우동,신동배터,127.7162,37.93666
신사우동,신동보급대,127.72141,37.92777
신사우동,신동삼거리,127.72444,37.93483
신사우동,신동삼거리,127.725401,37.934932
신사우동,신동삼거리,127.722289,37.931962
신사우동,신동초교,127.722,37.92976
신사우동,신동초교,127.72175,37.92992
신사우동,신동초등학교,127.72203,37.93187
신사우동,여우고개,127.73921,37.91949
신사우동,여우고개,127.73905,37.91915
신사우동,올미,127.738457,37.921373
신사우동,올미입구,127.739378,37.922217
신사우동,위도입구,127.721009,37.924928
신사우동,위도입구,127.721118,37.924302
신사우동,인형극장,127.720241,37.922162
신사우동,인형극장,127.720563,37.921991
신사우동,지내리,127.72798,37.9436
신사우동,지내리,37.943661,127.728093
신사우동,청소년수련원,127.88144,37.99337
신사우동,청소년수련원,127.72023,37.92216
신사우동,한계울마을,127.72757,37.94024
신사우동,한계울마을,127.72778,37.9403
신사우동,한계울마을입구,127.727578,37.938728
신사우동,한계울마을입구,127.727509,37.938818
근화동,춘천역환승센터,127.7177,37.885
근화동,춘천역환승센터,127.718105,37.885176
근화동,호반환승센터,127.724,37.893
근화동,호반환승센터,127.725,37.89351
소양동,중앙시장환승센터,127.72308,37.87707
후평1동,동면농협장학지점,127.75348,37.89171
후평1동,동면농협장학지점,127.75317,37.89177
후평1동,후평환승센터,127.74863,37.8835
,중앙시장환승센터,37.877578,127.724383
,강원대후문,37.872981,127.74425
,후평환승센터,37.883428,127.748863
,석사2지구A,37.870446,127.756856
,칠전동고개,127.71367,37.83625
,칠전동고개,127.71404,37.83657
,칠전동사거리,127.71448,37.84142
,칠전동,127.71413,37.84246
,칠전대우A,127.7118,37.84417
,칠전대우A,127.71177,37.84436
,시외버스터미널,37.863568,127.71969
,시외버스터미널,37.863886,127.71969
,대원사,127.68556,37.84511
,대원사,127.68555,37.84521
,송암스포츠타운입구,127.69323,37.84544
,송암스포츠타운입구,127.69232,37.84577
,송암동,127.68957,37.85203
,송암동,127.69075,37.85043
,강원체육회관,37.852396,127.689205
,송암스포츠타운,127.68863,37.85578
,송암스포츠타운,127.68883,37.85569
,강원체고앞,127.6928,37.8591
,강원체고앞,127.6925,37.85909
,자라우마을,37.857405,127.701243
,자라우마을,37.857098,127.700734
,퇴계환승센터,37.858056,127.734144
,퇴계환승센터,37.857784,127.734252
,남춘천역환승센터,37.864415,127.722867
,남춘천역환승센터,37.86426,127.722808
,강원대후문,37.872802,127.74405
,석사A,37.862875,127.739265
,장애인종합복지관,127.75552,37.84698
,장애인종합복지관,127.7553,37.84742
,춘천교도소입구,37.848989,127.755298
,석사극동아파트,37.851098,127.752612
,석사삼익아파트,127.75104,37.85308
,석사2지구A,37.870293,127.757141
