행정구역,주말_유동인구,주중_유동인구,일_유동인구,월_유동인구,화_유동인구,수_유동인구,목_유동인구,금_유동인구,토_유동인구,00-06유동인구,06-12유동인구,12-15유동인구,15-18유동인구,18-21유동인구,21-24유동인구,10대_유동인구,20대_유동인구,30대_유동인구,40대_유동인구,50대_유동인구,60대_이상 유동인구,주거인구,직장인구,월평균유동인구
봉의동,2025,10628,952,2340,2346,1719,2024,2198,1073,66,675,382,369,232,108,148,199,391,473,389,229,1482,8797,2193.307692
요선동,9595,27807,4452,5659,5792,5144,5450,5763,5143,241,1579,1044,1097,937,455,396,637,974,1215,1129,1001,1370,1031,6226.230769
중앙로1가,6865,21303,3199,4363,4439,3897,4148,4456,3665,202,1219,811,831,658,315,319,496,731,900,844,747,39,1220,4585.090909
중앙로2가,18099,44169,8232,8677,8955,8360,8658,9519,9868,355,2635,1987,1969,1410,523,914,1251,1313,1641,1677,2076,38,1655,11481.07692
중앙로3가,15775,43066,7347,8563,9008,7971,8336,9189,8429,353,2691,1757,1791,1261,563,664,916,1455,1749,1707,1925,231,978,8650.692308
옥천동,3373,13194,1512,2766,2788,2341,2599,2700,1861,86,845,489,475,332,160,324,375,394,492,439,363,792,1119,2420.153846
조양동,23689,53501,10786,10409,10783,10227,10583,11498,12903,395,3019,2503,2448,1910,703,1131,1789,1767,2185,2020,2097,941,2278,12910.69231
운교동,31949,80371,14530,15992,16556,14847,15868,17108,17420,1089,4308,2963,3203,2883,1586,1201,2194,2482,3219,3299,3620,1981,1745,17220.15385
약사동,20203,44811,8969,8846,9325,7886,9100,9653,11234,674,2531,1792,1819,1570,859,739,1108,1459,1829,1884,2217,1652,815,9746.615385
효자동,217486,618864,99797,126061,130195,116191,121443,124975,117687,9024,31829,21533,22786,21921,12679,11731,24679,17744,21428,21577,22668,21597,17274,126848.1538
소양로1가,19292,38115,8981,7372,7544,7257,7654,8288,10312,463,2130,1740,1902,1317,577,520,837,1309,1715,1837,1911,1652,539,6911.461538
소양로2가,18003,44287,8836,8961,9070,8108,8750,9398,9167,683,2555,1588,1801,1464,781,621,940,1482,1810,1925,2094,5144,876,8523
소양로3가,7898,20838,3699,4162,4210,4014,4031,4421,4200,152,1276,788,902,685,299,398,517,628,788,833,939,361,800,4401.307692
소양로4가,5478,14496,2557,2876,2992,2775,2759,3094,2920,94,972,587,621,410,168,254,311,473,576,576,661,641,419,3287.230769
근화동,117787,253667,57571,49289,50987,48610,50351,54432,60217,2797,15300,10571,11439,8639,4014,3456,6266,8893,11157,11323,11667,7046,3784,51919.61538
우두동,153757,386687,71797,76253,78874,74464,75432,81663,81961,4805,20584,14525,16132,14008,7059,6638,9360,12270,15720,16090,17021,12529,3468,76670.23077
사농동,60036,140934,29045,26749,28519,28431,27754,29481,30992,1376,7917,6152,6535,4560,2122,2212,2783,5153,6193,5953,6366,5411,1447,27164.53846
후평동,277256,764520,132290,155187,159541,143349,150647,155793,144964,13354,39163,24454,28314,27735,16081,12896,23147,25237,31041,29401,27352,48551,13455,130225
온의동,169332,378741,76737,74550,75142,71347,74767,82937,92594,3335,21118,15370,16823,14694,6509,5174,10170,13284,16252,16514,16480,10077,6397,81597.30769
교동,16584,62061,8094,13577,13435,10847,12257,11945,8490,815,3465,2027,2129,1789,1098,1551,2922,1393,1801,1767,1891,3738,3653,9947.307692
퇴계동,301507,728898,140784,144712,148129,137115,144532,154409,160726,13647,36959,23341,27844,28753,16330,13548,17178,24550,33628,29833,28087,42930,11606,151295.3846
석사동,245311,635193,112048,125221,130372,124204,122948,132445,133261,8714,30870,21349,25693,25787,13404,12363,18055,20784,28332,24642,21623,36126,10870,134302.8462
삼천동,43258,79234,20734,14697,15764,15279,15867,17627,22525,710,5079,3970,4020,2484,1047,693,1762,2816,3861,4229,3948,686,2327,15846.33333
칠전동,48260,106395,23204,20448,21636,21408,20660,22243,25055,805,6689,4595,4875,3527,1529,1160,1978,3701,5263,5343,4556,5210,1154,20760
송암동,18190,25323,9728,4261,5121,5600,4803,5539,8463,126,2035,1644,1469,628,212,615,652,1085,1470,1262,1027,535,279,5275
중도동,551,821,275,127,155,168,175,196,276,7,52,51,52,22,9,9,19,36,41,42,44,494,76,121.3076923
